,0
368,UDR.N
369,DGX.N
370,CBOE.Z
371,ETSY.OQ
372,HIG.N
373,ACGL.OQ
374,NDSN.OQ
375,VRSK.OQ
376,GEV.N
377,AMT.N
378,PYPL.OQ
379,CAG.N
380,UHS.N
381,TFX.N
382,SYF.N
383,WAT.N
384,INCY.OQ
385,LRCX.OQ
386,IDXX.OQ
387,PPG.N
388,LKQ.OQ
389,BG.N
390,HES.N
391,EOG.N
392,MAR.OQ
393,TJX.N
394,MNST.OQ
395,VMC.N
396,EW.N
397,ALL.N
398,BMY.N
399,APH.N
400,HON.OQ
401,GPC.N
402,MHK.N
403,MCHP.OQ
404,CAT.N
405,PG.N
406,ZTS.N
407,STE.N
408,BKR.OQ
409,AFL.N
410,CPB.N
411,PTC.OQ
412,FITB.OQ
413,MSI.N
414,XEL.OQ
415,HSIC.OQ
416,ITW.N
417,WST.N
418,DFS.N
419,APTV.N
420,MPC.N
421,PGR.N
422,ICE.N
423,KMB.N
424,SWKS.OQ
425,ABNB.OQ
426,EL.N
427,TSLA.OQ
428,EXR.N
429,SPGI.N
430,ADBE.OQ
431,ADSK.OQ
432,WRK.N
433,FOXA.OQ
434,TT.N
435,TSN.N
436,AKAM.OQ
437,LUV.N
438,INVH.N
439,TSCO.OQ
440,AON.N
441,AMZN.OQ
442,MS.N
443,BRKb.N
444,GOOG.OQ
445,KR.N
446,BKNG.OQ
447,STZ.N
448,WBD.OQ
449,ABBV.N
450,STLD.OQ
451,MA.N
452,XOM.N
453,SWK.N
454,FICO.N
455,HRL.N
456,INTC.OQ
457,TRMB.OQ
458,WBA.OQ
459,OMC.N
460,GLW.N
461,CRM.N
462,SBUX.OQ
463,ATO.N
464,ETR.N
465,HAL.N
466,TFC.N
467,TAP.N
468,ABT.N
469,V.N
470,YUM.N
471,LYV.N
472,JNPR.N
473,EG.N
474,FTNT.OQ
475,DTE.N
476,HST.OQ
477,IRM.N
478,DOC.N
479,FIS.N
480,DAL.N
481,ROK.N
482,DOW.N
483,PPL.N
484,NTRS.OQ
485,ETN.N
486,CVX.N
487,CI.N
488,ACN.N
489,PANW.OQ
490,XYL.N
491,HAS.OQ
492,ENPH.OQ
493,SO.N
494,CTLT.N
495,EQT.N
496,NRG.N
497,MKTX.OQ
498,LMT.N
499,DLR.N
500,PSX.N
501,SCHW.N
502,SNPS.OQ
503,J.N
504,AVY.N
505,GILD.OQ
506,TTD.OQ
507,PAYX.OQ
508,KHC.OQ
509,BIIB.OQ
510,MDB.OQ
511,HON.OQ
512,AZN.OQ
513,CSCO.OQ
514,DASH.OQ
515,CTAS.OQ
516,FAST.OQ
517,FANG.OQ
518,LRCX.OQ
519,FTNT.OQ
520,QCOM.OQ
521,WBD.OQ
522,CHTR.OQ
523,CDNS.OQ
524,IDXX.OQ
525,DLTR.OQ
526,TEAM.OQ
527,ADBE.OQ
528,REGN.OQ
529,XEL.OQ
530,ISRG.OQ
531,NFLX.OQ
532,WDAY.OQ
533,EA.OQ
534,MCHP.OQ
535,MAR.OQ
536,SNPS.OQ
537,ADSK.OQ
538,MDLZ.OQ
539,CCEP.OQ
540,SBUX.OQ
541,CMCSA.OQ
542,PCAR.OQ
543,INTC.OQ
544,AAPL.OQ
545,TMUS.OQ
546,MRVL.OQ
547,ANSS.OQ
548,ORLY.OQ
549,PDD.OQ
550,BKNG.OQ
551,EXC.OQ
552,ILMN.OQ
553,ADI.OQ
554,GOOG.OQ
555,GEHC.OQ
556,MELI.OQ
557,INTU.OQ
558,ON.OQ
559,TXN.OQ
560,LULU.OQ
561,GFS.OQ
562,CRWD.OQ
563,PEP.OQ
564,CTSH.OQ
565,KLAC.OQ
566,WBA.OQ
567,NVDA.OQ
568,MSFT.OQ
569,NXPI.OQ
570,MU.OQ
571,DDOG.OQ
572,DXCM.OQ
573,KDP.OQ
574,AMGN.OQ
575,ZS.OQ
576,CSGP.OQ
577,AEP.OQ
578,META.OQ
579,SIRI.OQ
580,ASML.OQ
581,ROP.OQ
582,ODFL.OQ
583,AMD.OQ
584,CEG.OQ
585,TSLA.OQ
586,PANW.OQ
587,ABNB.OQ
588,CPRT.OQ
589,BKR.OQ
590,LIN.OQ
591,CDW.OQ
592,MNST.OQ
593,ADP.OQ
594,AVGO.OQ
595,CSX.OQ
596,PYPL.OQ
597,COST.OQ
598,GOOGL.OQ
599,AMAT.OQ
600,MRNA.OQ
601,ROST.OQ
602,VRSK.OQ
603,AMZN.OQ
604,TTWO.OQ
605,VRTX.OQ
606,GS.N
607,NKE.N
608,CSCO.OQ
609,JPM.N
610,DIS.N
611,INTC.OQ
612,DOW.N
613,MRK.N
614,CVX.N
615,AXP.N
616,VZ.N
617,HD.N
618,MCD.N
619,UNH.N
620,AMZN.OQ
621,KO.N
622,JNJ.N
623,MSFT.OQ
624,HON.OQ
625,CRM.N
626,PG.N
627,IBM.N
628,MMM.N
629,AAPL.OQ
630,WMT.N
631,CAT.N
632,AMGN.OQ
633,V.N
634,TRV.N
635,BA.N
