,2023-06-04,2023-07-04,2023-08-03,2023-09-02,2023-10-02,2023-11-01,2023-12-01,2023-12-31,2024-01-30,2024-02-29,2024-03-30
total_return_equally_weighted,0.0872,0.0413,0.0441,0.0227,0.0697,0.1412,0.1611,0.1852,0.1997,0.1999,0.1813
total_return_optimally_weighted,0.0385,0.0102,-0.0005,-0.0147,0.0374,0.1175,0.1022,0.1817,0.1919,0.1801,0.1342
volatility_equally_weighted,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0131
volatility_optimally_weighted,0.0124,0.0125,0.0124,0.0124,0.0124,0.0124,0.0124,0.0125,0.0124,0.0124,0.0124
